2024-05-30 12:20:47 [main] INFO  com.lnt.ptd.redisToDB.Main - Starting the program
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.Main - Starting the program at 2024-05-30T12:31:29.104194700
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.Main - Loaded the properties from the config file
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.MessageProcessor - All CSV files cleaned at 2024-05-30T12:31:29.165002
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.Main - Thread started for Server1
2024-05-30 12:31:29 [Thread-0] INFO  com.lnt.ptd.redisToDB.MessageProcessor - inside run method at 2024-05-30T12:31:29.165998200
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.MessageProcessor - All CSV files cleaned at 2024-05-30T12:31:29.166991900
2024-05-30 12:31:29 [main] INFO  com.lnt.ptd.redisToDB.Main - Thread started for Server2
2024-05-30 12:31:29 [Thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - inside run method at 2024-05-30T12:31:29.167996200
2024-05-30 12:31:29 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 476 milliseconds at 2024-05-30T12:31:29.838911200
2024-05-30 12:31:29 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 474 milliseconds at 2024-05-30T12:31:29.836907
2024-05-30 12:31:29 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 474 milliseconds at 2024-05-30T12:31:29.836907
2024-05-30 12:31:29 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 463 milliseconds at 2024-05-30T12:31:29.837901300
2024-05-30 12:31:29 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 24 milliseconds at 2024-05-30T12:31:29.904437300
2024-05-30 12:31:29 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 25 milliseconds at 2024-05-30T12:31:29.905438600
2024-05-30 12:31:29 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:29.906440500
2024-05-30 12:31:29 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:29.976444600
2024-05-30 12:31:29 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:29.978445400
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:30.029606600
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 21 milliseconds at 2024-05-30T12:31:30.067256800
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:30.710984
2024-05-30 12:31:30 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 18 milliseconds at 2024-05-30T12:31:30.713008
2024-05-30 12:31:30 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 48 milliseconds at 2024-05-30T12:31:30.756582600
2024-05-30 12:31:30 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 60 milliseconds at 2024-05-30T12:31:30.774585300
2024-05-30 12:31:30 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 45 milliseconds at 2024-05-30T12:31:30.791576200
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 46 milliseconds at 2024-05-30T12:31:30.791576200
2024-05-30 12:31:30 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 61 milliseconds at 2024-05-30T12:31:30.837197800
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 30 milliseconds at 2024-05-30T12:31:30.854018400
2024-05-30 12:31:30 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 14 milliseconds at 2024-05-30T12:31:30.882022800
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 12 milliseconds at 2024-05-30T12:31:30.882022800
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 15 milliseconds at 2024-05-30T12:31:30.915024300
2024-05-30 12:31:30 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 18 milliseconds at 2024-05-30T12:31:30.957574700
2024-05-30 12:31:32 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 14 milliseconds at 2024-05-30T12:31:32.040894
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 15 milliseconds at 2024-05-30T12:31:32.042909400
2024-05-30 12:31:32 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 43 milliseconds at 2024-05-30T12:31:32.083408
2024-05-30 12:31:32 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 44 milliseconds at 2024-05-30T12:31:32.084405400
2024-05-30 12:31:32 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 28 milliseconds at 2024-05-30T12:31:32.099402600
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:32.099402600
2024-05-30 12:31:32 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 15 milliseconds at 2024-05-30T12:31:32.161927200
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:32.162929500
